#Columns,21,,,,,,,,,,,,,,,,,,,,
#Header_Rows,12,,,,,,,,,,,,,,,,,,,,
Field_Name,Sample_Name,Material,00691_DIC_mg_per_L_as_C,71846_NH4_mg_per_L_as_NH4,71870_Br_mg_per_L,00915_Ca_mg_per_L,00940_Cl_mg_per_L,00950_F_mg_per_L,01130_Li_mg_per_L,00925_Mg_mg_per_L,71851_NO3_mg_per_L_as_NO3,71856_NO2_mg_per_L_as_NO2,00653_PO4_mg_per_L_as_PO4,00935_K_mg_per_L,00930_Na_mg_per_L,00945_SO4_mg_per_L_as_SO4,00681_NPOC_mg_per_L_as_C,00602_TN_mg_per_L_as_N,00530_TSS_mg_per_L,FTICR-MS,Methods_Deviation
Unit,N/A,N/A,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,N/A,N/A
Unit_Basis,N/A,N/A,as_Carbon,as_Ammonium,N/A,N/A,N/A,N/A,N/A,N/A,as_Nitrate,as_Nitrite,as_Phosphate,N/A,N/A,as_Sulfate,as_Carbon,as_Nitrogen,as_mg_solids_per_L_water,N/A,N/A
MethodID_Analysis,N/A,N/A,DIC_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,NPOC_T_AN_005,TN_T_AN_005,TSS_T_AN_000,ICR_T_IN_004,N/A
MethodID_Inspection,N/A,N/A,DIC_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,NPOC_T_IN_005,TN_T_IN_005,TSS_T_IN_000,ICR_T_ST_004,N/A
MethodID_Storage,N/A,N/A,DIC_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,NPOC_T_ST_005,TN_T_ST_005,TSS_T_ST_000,ICR_T_PRES_004,N/A
MethodID_Preservation,N/A,N/A,DIC_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,NPOC_T_PRES_005,TN_T_PRES_005,TSS_T_PRES_000,ICR_T_PREP_004,N/A
MethodID_Preparation,N/A,N/A,DIC_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,NPOC_T_PREP_005,TN_T_PREP_005,TSS_T_PREP_000,ICR_T_AN_004,N/A
MethodID_DataProcessing,N/A,N/A,DIC_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,NPOC_T_DP_005,TN_T_DP_005,TSS_T_DP_000,ICR_T_DP_004,N/A
Analysis_DetectionLimit,-9999,-9999,0.189,0.0157,0.00841,0.37,0.243,0.0092,N/A,0.0586,0.0253,0.00518,N/A,0.025,0.00677,0.00986,0.27,0.07,1,-9999,N/A
Analysis_Precision,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
Data_Status,N/A,N/A,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,N/A
#Start_Data,SPS_0001-1,Liquid>aqueous,10.7,-9999,-9999,7.96,1.25,0.08,-9999,3.1,0.07,0.02,-9999,1.45,5.5,0.15,0.75,TN_0.0739_ppm_Below_0.1_ppm,TSS_0.743_Below_LOD_1_ppm,See_FTICR_folder,F_CV_030;SO4_CV_030;F_BLC_000;DTL_000
N/A,SPS_0004-1,Liquid>aqueous,26,-9999,4.55,20.6,6.1,0.17,-9999,10,7.1,0.04,0.36,2.75,11.7,9.11,1.95,1.97,3.18,See_FTICR_folder,Br_BLC_000;F_BLC_000;TSS_004
N/A,SPS_0006-1,Liquid>aqueous,13.8,-9999,-9999,9.53,0.88,0.14,-9999,4.84,0.02,0.03,0.49,1.1,5.83,0.24,0.81,TN_0.0815_ppm_Below_0.1_ppm,2.12,See_FTICR_folder,Ca_CV_030;Cl_CV_030;Mg_CV_030;K_CV_030;SO4_CV_030;F_BLC_000;DTL_000
N/A,SPS_0012-1,Liquid>aqueous,13.4,-9999,Bromide_0.18_ppm_Below_LOD_0.0084_ppm,10.7,2,0.18,-9999,5.14,0.06,0.04,0.57,1.75,7.62,0.3,0.88,TN_0.0942_ppm_Below_0.1_ppm,4.12,See_FTICR_folder,Br_BLC_000;DTL_000;Ca_BLC_000
N/A,SPS_0014-1,Liquid>aqueous,3.34,-9999,Bromide_0.0786_ppm_Below_0.085_ppm,4.62,0.41,0.05,-9999,0.96,0.07,0.02,-9999,0.18,0.68,0.34,0.38,TN_0.0526_ppm_Below_LOD_0.07_ppm,0.43,See_FTICR_folder,Mg_CV_030;DTL_000;F_BLC_000
N/A,SPS_0016-1,Liquid>aqueous,6,-9999,-9999,6.62,0.52,Fluoride_0.0783_ppm_Below_0.1_ppm,-9999,2.76,0.07,0.02,-9999,0.36,1.06,0.51,0.99,TN_0.0645_ppm_Below_LOD_0.07_ppm,1.11,See_FTICR_folder,Cl_CV_030;DTL_000;F_BLC_000
N/A,SPS_0021-1,Liquid>aqueous,3.53,-9999,-9999,4.98,0.72,0.03,-9999,0.96,0.05,0.02,-9999,0.19,1.17,0.53,0.67,TN_0.0509_ppm_Below_LOD_0.07_ppm,0.4,See_FTICR_folder,Cl_CV_030;F_CV_030;Mg_CV_030;F_BLC_000;DTL_000
